code,testId,testType,spot,red_current,green_current,blue_current,duv,x,y,u,v,Lv,X,Y,Z
"4G-1-12-09-2-A",150522164256,"135 spots",1,23.4,21.528,21.762,-0.00508035766,0.270394117,0.2644537,0.192018911,0.422550827,12718.29,13003.9795,12718.29,22370.416
"4G-1-12-09-2-A",150522164256,"135 spots",2,23.4,21.528,21.762,-0.004770291,0.2685017,0.262282848,0.191431716,0.4207453,7284.66162,7457.384,7284.66162,13032.0205
"4G-1-12-09-2-A",150522164256,"135 spots",27,23.4,21.528,21.762,-0.002650567,0.273395061,0.27333954,0.190742373,0.429083169,9054.657999999999,9056.498,9054.657999999999,15014.8926
"4G-1-12-09-2-A",150522164256,"135 spots",11,23.4,21.528,21.762,-0.0077959965,0.2751955,0.265982419,0.195125759,0.424334884,6733.69727,6966.93848,6733.69727,11615.6875
"4G-1-12-09-2-A",150522164256,"135 spots",10,23.4,21.528,21.762,-0.007975644,0.278197646,0.269653767,0.19593282,0.4273097,9921.02051,10235.3643,9921.02051,16635.3145
"4G-1-12-09-2-A",150522164256,"135 spots",13,23.4,21.528,21.762,-0.00430084951,0.271975,0.268210471,0.191714779,0.425387651,6919.932,7017.058,6919.932,11863.39
"4G-1-12-09-2-A",150522164256,"135 spots",12,23.4,21.528,21.762,-0.00437435647,0.2722807,0.2684939,0.191835955,0.4256279,7105.743,7205.96143,7105.743,12153.4912
"4G-1-12-09-2-A",150522164256,"135 spots",15,23.4,21.528,21.762,-0.00315368269,0.2748214,0.2742837,0.1914544,0.4299296,7409.171,7423.695,7409.171,12179.9326
"4G-1-12-09-2-A",150522164256,"135 spots",14,23.4,21.528,21.762,-0.00275800331,0.273438841,0.27319178,0.19083485,0.428990424,7169.76855,7176.253,7169.76855,11898.4316
"4G-1-12-09-2-A",150522164256,"135 spots",17,23.4,21.528,21.762,-0.00117715541,0.2748998,0.2781778,0.189968184,0.432525218,6843.335,6762.69434,6843.335,10994.5488
"4G-1-12-09-2-A",150522164256,"135 spots",16,23.4,21.528,21.762,-0.00184308412,0.273275256,0.27473557,0.1900954,0.430000246,7327.598,7288.64941,7327.598,12055.2119
"4G-1-12-09-2-A",150522164256,"135 spots",25,23.4,21.528,21.762,-0.003637494,0.2747284,0.273235857,0.19180344,0.4292132,7688.63965,7730.638,7688.63965,12719.9268
"4G-1-12-09-2-A",150522164256,"135 spots",26,23.4,21.528,21.762,-0.0024749916,0.274552,0.275225252,0.190873221,0.4305179,7771.172,7752.16162,7771.172,12712.3438
"4G-1-12-09-2-A",150522164256,"135 spots",117,23.4,21.528,21.762,-0.0073011783,0.283341885,0.277403653,0.196691439,0.433280736,8158.13672,8332.772999999999,8158.13672,12917.9922
"4G-1-12-09-2-A",150522164256,"135 spots",100,23.4,21.528,21.762,-0.009397891,0.281389654,0.271143049,0.197780892,0.4288024,8349.945,8665.493,8349.945,13779.9121
"4G-1-12-09-2-A",150522164256,"135 spots",101,23.4,21.528,21.762,-0.009467813,0.28093192,0.270434648,0.197722688,0.428252876,8587.733,8921.076999999999,8587.733,14246.4893
"4G-1-12-09-2-A",150522164256,"135 spots",102,23.4,21.528,21.762,-0.00781134749,0.278679371,0.270585865,0.195919469,0.428016424,8561.593999999999,8817.68,8561.593999999999,14261.6758
"4G-1-12-09-2-A",150522164256,"135 spots",103,23.4,21.528,21.762,-0.0101510575,0.281680673,0.2701405,0.1984252,0.428165823,8496.762000000001,8859.736000000001,8496.762000000001,14096.6221
