WaferID,DeviceID,TestType,sid,ResultType,DateTimeTested,devlist,CurrentString,CurrentSet,GreenSet,RedSet,BlueSet,Current,Volt,GreenCurr,RedCurr,BlueCurr,GreenVolt,RedVolt,BlueVolt,eqe,wpe,IntegrationTime,FilterPosition,photometric,Centroid,dominantWavelength,efficacy,PeakWavelength,PeakWavelength,PeakWavelengthIntensity,experimentId,mask,polish,recipeName,runNumber
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 7uA",7.000000096013537e-06,7.000000096013537e-06,-1.0,-1.0,0.007501000072807074,0.6644960045814514,0.007501000072807074,-1,-1,0.6644960045814514,-1,-1,-0.1890522837638855,-0.5880938172340393,300,,-1,599.77001953125,476.9925231933594,-1,430.9487915039062,430.9487915039062,5.052000151550828e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 70uA",7.000000186963007e-05,7.000000186963007e-05,-1.0,-1.0,0.06972900032997131,1.729339957237244,0.06972900032997131,-1,-1,1.729339957237244,-1,-1,-0.02661381661891937,-0.03632542863488197,300,,-1,525.239990234375,476.9925231933594,-1,428.1676330566406,428.1676330566406,3.888000144058879e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 6uA",6.000000212225132e-06,6.000000212225132e-06,-1.0,-1.0,0.005501000210642815,0.52919602394104,0.005501000210642815,-1,-1,0.52919602394104,-1,-1,-0.3281785845756531,-1.368162870407104,300,,-1,561.9500122070312,476.9925231933594,-1,428.57275390625,428.57275390625,3.623999988988658e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 5uA",4.999999873689376e-06,4.999999873689376e-06,-1.0,-1.0,0.004501000046730042,0.5730569958686829,0.004501000046730042,-1,-1,0.5730569958686829,-1,-1,-0.5730189681053162,-2.83273458480835,300,,-1,437.6300048828125,476.9925231933594,-1,694.2215576171875,694.2215576171875,4.048000157297338e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 55uA",5.500000042957254e-05,5.500000042957254e-05,-1.0,-1.0,0.05474799871444702,1.657719969749451,0.05474799871444702,-1,-1,1.657719969749451,-1,-1,-0.06681562960147858,-0.100440040230751,300,,-1,497.510009765625,476.9925231933594,-1,409.0740661621094,409.0740661621094,5.027000149482319e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 4uA",3.999999989900971e-06,3.999999989900971e-06,-1.0,-1.0,0.003500000108033419,1.367120027542114,0.003500000108033419,-1,-1,1.367120027542114,-1,-1,-0.8563505411148071,-1.500378489494324,300,,-1,517.5900268554688,476.9925231933594,-1,438.9886779785156,438.9886779785156,3.794999869910498e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 40uA",3.999999898951501e-05,3.999999898951501e-05,-1.0,-1.0,0.03974999859929085,1.527660012245178,0.03974999859929085,-1,-1,1.527660012245178,-1,-1,-0.08700341731309891,-0.1326287984848022,300,,-1,532.3699951171875,476.9925231933594,-1,460.6368103027344,460.6368103027344,4.547000109766941e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 25uA",2.499999936844688e-05,2.499999936844688e-05,-1.0,-1.0,0.02472800016403198,1.359840035438538,0.02472800016403198,-1,-1,1.359840035438538,-1,-1,-0.1752849966287613,-0.3023861646652222,300,,-1,528.489990234375,476.9925231933594,-1,691.6687622070312,691.6687622070312,4.214999904661454e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 9uA",9.000000318337698e-06,9.000000318337698e-06,-1.0,-1.0,0.008999999612569809,1.567129969596863,0.008999999612569809,-1,-1,1.567129969596863,-1,-1,-0.4138268530368805,-0.6063312292098999,300,,-1,539.9400024414062,476.9925231933594,-1,401.0769653320312,401.0769653320312,4.832000133347947e-09,"EXP598",,"",,
"SLAB00001","4136","test_data_visualization","141106154505","CurrentSweepGreen",2014-11-07T18:48:07.234Z,"Mask19_StdTest","Data @ 400uA",0.0003999999898951501,0.0003999999898951501,-1.0,-1.0,0.4000889956951141,2.012890100479126,0.4000889956951141,-1,-1,2.012890100479126,-1,-1,-0.008545702323317528,-0.01047283597290516,300,,-1,502.5799865722656,476.9925231933594,-1,454.8221435546875,454.8221435546875,4.569999934034286e-09,"EXP598",,"",,
