WaferID,TimeRun,MaxAdcValue,radiometric
"UN0004977",2015-07-08T23:41:01.968Z,9799,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10473,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,4171,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10583,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9764,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9693,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10659,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7416,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10346,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,14916,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9224,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,14754,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10581,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10483,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9708,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,6973,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9715,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,9231,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9935,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10511,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,10392,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9265,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,14901,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,14318,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9695,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,11646,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,10473,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,3233,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,6954,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,2434,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7394,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,4829,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7344,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8447,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8990,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,9878,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7585,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5239,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,6737,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,6694,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,11605,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7580,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8202,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8079,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7490,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,2072,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8470,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8250,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7533,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,5209,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8128,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,11254,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7670,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,6964,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,3226,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7474,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,11605,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,4888,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7497,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7512,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8118,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8161,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7977,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7076,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,7048,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7679,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8119,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,8075,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,10872,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,9019,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,11409,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,7489,-0.0003406415053177625
"UN0004977",2015-07-08T23:08:18.732Z,8143,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,2268,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5194,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5563,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,7097,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,7600,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,4528,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,2832,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,4698,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5213,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,4909,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5306,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5375,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5742,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5136,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5245,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,6249,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5692,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5698,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5707,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,2948,-0.0003406415053177625
"UN0004977",2015-07-08T23:41:01.968Z,5891,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,7937,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,7714,-0.0003406415053177625
"UN0004977",2015-06-29T21:00:44.628Z,7445,-0.0003406415053177625
